id,text,label,source
r001,Absolutely love this blender. It crushes ice in seconds and is easy to clean.,positive,product_review
r002,The headphones sound fantastic and the battery lasts all week. Worth every penny.,positive,product_review
r003,"Excellent build quality, feels premium for the price. Would happily buy again.",positive,product_review
r004,Setup took two minutes and it has worked flawlessly since. Highly recommend!,positive,product_review
r005,Best laptop bag I've owned. Plenty of pockets and the zips feel sturdy.,positive,product_review
r006,Bought this as a gift and the recipient was thrilled. Beautiful finish and great packaging.,positive,product_review
r007,"The camera quality is stunning in low light, far better than my old phone.",positive,product_review
r008,"Very comfortable chair, I can work for hours without getting fidgety.",positive,product_review
r009,Great value. Does everything the expensive brands do at half the price.,positive,product_review
r010,"Sturdy, quiet and powerful. The vacuum picks up pet hair like a dream.",positive,product_review
r011,I was skeptical but this kettle boils fast and looks great on the counter. Five stars.,positive,product_review
r012,"Exceeded my expectations. Bright display, smooth performance and a fantastic speaker.",positive,product_review
r013,The blender arrived in a standard box with a user manual and a spare blade.,neutral,product_review
r014,"It works as described. Nothing special, nothing wrong.",neutral,product_review
r015,"Average headphones. Sound is okay for the price, but I wouldn't say they stand out.",neutral,product_review
r016,"Good screen but the battery life is disappointing, so it evens out for me.",neutral,product_review
r017,Delivered on Thursday. I haven't had a chance to use it much yet.,neutral,product_review
r018,The bag is available in black and grey. I ordered the grey one in medium.,neutral,product_review
r019,Does the job for basic tasks. I expected a little more but it is fine.,neutral,product_review
r020,"Sturdy enough, though the color is slightly different from the photos. Overall it's acceptable.",neutral,product_review
r021,It's a kettle. It boils water and switches off automatically.,neutral,product_review
r022,Setup instructions were clear but the app is clunky. I'd call it mediocre overall.,neutral,product_review
r023,I bought this to replace my old one. Too early to say whether it lasts.,neutral,product_review
r024,"Comfortable for short sessions but the armrests are too low, so mixed feelings.",neutral,product_review
r025,Stopped working after two weeks. Complete waste of money.,negative,product_review
r026,The battery drains in under three hours and the charger gets dangerously hot. Very disappointed.,negative,product_review
